Course ID,Course Code,Course Number,Course Name,Credits,Semester
69,ENGR,102,Engineering Lab I - Computation,2,1
70,MATH,151Engineering Mathematics I,4,1
71,CHEM,107,General Chemistry for Engineering Students,3,1
72,ENGL,104,Composition and Rhetoric,3,1
73,UCC Elective,1,,3,1
74,ENGR,216,Experimental Physics and Engineering Lab II - Mechanics,2,2
75,PHYS,206,Newtonian Mechanics for Engineering and Science,3,2
76,MATH,152,Engineering Mathematics II,4,2
77,ENGL,210,Technical and Professional Writing,3,2
78,UCC Elective,2,,0,2
4,CSCE,121,Introduction to Program Design and Concepts,4,3
9,CSCE,222,Discrete Structures for Computing,3,3
5,CSCE,181,Introduction to Computing,1,3
79,MATH,304,Linear Algebra,3,3
80,Science Elective,1,Emphasis area elective,3,3
81,General Elective,1,,1,3
8,CSCE,221,Data Structures and Algorithms,4,4
15,CSCE,312,Computer Organization,4,4
17,CSCE,314,Programming Languages,3,4
82,Emphasis Area Elective,1,,3,4
83,UCC Elective,3,,3,4
16,CSCE,313,Introduction to Computer Systems,4,5
18,CSCE,315,Programming Studio,3,5
63,CSCE,481,Seminar,1,5
84,STAT,211,Principles of Statistics I,3,5
85,Emphasis Area Elective,2,,3,5
86,UCC Elective,4,,3,5
25,CSCE,411,Design and Analysis of Algorithms,3,6
87,Computer Science Elective,1,,3,6
88,Computer Science Elective,2,,4,6
89,MATH,251, Engineering Mathematics III,3,6
90,Science Elective,2,,4,6
22,CSCE,399,High-Impact Experience,3,6
91,Computer Science Elective,3,,4,7
92,Computer Science Elective,4,,3,7
93,Computer Science Elective,5,,3,7
94,UCC Elective,5,,3,7
95,Emphasis Area Elective,3,,3,7
64,CSCE,482,Senior Capstone Design,3,8
96,Computer Science Elective,6,,3,8
97,UCC Elective,6,,3,8
98,UCC Elective,7,,3,8
99,Emphasis Area Elective,4,,3,8
